,naic_cd,naics_code_description,total_flsa_bw_atp_amt,total_flsa_ee_atp_cnt,total_observations,num_firms,num_establishments,num_employed,payroll,receipts,flsa_severity_idx,flsa_reported_rt,flsa_suscptbl_idx
"('33431', 'Audio and Video Equipment Manufacturing')",33431,Audio and Video Equipment Manufacturing,10246.88,1.0,5,1903,1948,45980,2161999,19915211,0.222855154415,0.108742931709,2.049376
"('334310', 'Audio and Video Equipment Manufacturing')",334310,Audio and Video Equipment Manufacturing,126.175,1.0,22,1903,1948,45980,2161999,19915211,0.00274412788169,0.478468899522,0.00573522727273
"('3344', 'Semiconductor and Other Electronic Component Manufacturing')",3344,Semiconductor and Other Electronic Component Manufacturing,0.0,0.0,3,14794,15997,876944,49893474,273400978,,0.00342097100841,
"('33441', 'Semiconductor and Other Electronic Component Manufacturing')",33441,Semiconductor and Other Electronic Component Manufacturing,0.0,0.0,18,14794,15997,876944,49893474,273400978,,0.0205258260505,
"('334412', 'Bare Printed Circuit Board Manufacturing')",334412,Bare Printed Circuit Board Manufacturing,1310.14,0.5,12,2412,2497,103381,4869220,17905096,0.0126729282944,0.116075487759,0.109178333333
"('334413', 'Semiconductor and Related Device Manufacturing')",334413,Semiconductor and Related Device Manufacturing,0.0,0.0,13,2961,3220,307649,24802351,148335675,,0.0422559475246,
"('334414', 'Electronic Capacitor Manufacturing')",334414,Electronic Capacitor Manufacturing,385.65,1.0,2,225,253,12987,492188,1914665,0.0296950796951,0.154000154,0.192825
"('334416', 'Electronic Coil, Transformer, and Other Inductor Manufacturing')",334416,"Electronic Coil, Transformer, and Other Inductor Manufacturing",0.0,0.0,4,1024,1070,31418,1116680,4234768,,0.127315551595,
"('334417', 'Electronic Connector Manufacturing')",334417,Electronic Connector Manufacturing,9206.04,13.0,5,824,913,60923,2704188,13473462,0.151109433219,0.0820708106955,1.841208
"('334418', 'Printed Circuit Assembly (Electronic Assembly) Manufacturing')",334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,0.0,0.0,23,2876,3061,175531,7609549,53649260,,0.13103098598,
"('334419', 'Other Electronic Component Manufacturing')",334419,Other Electronic Component Manufacturing,0.0,0.0,33,4370,4544,158497,7131773,28660636,,0.208205833549,
"('3345', 'Navigational, Measuring, Electromedical, and Control Instruments Manufacturing')",3345,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",0.0,0.0,1,16461,17988,887875,63048983,291461477,,0.00112628466845,
"('33451', 'Navigational, Measuring, Electromedical, and Control Instruments Manufacturing')",33451,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",14809.26,7.0,1,16461,17988,887875,63048983,291461477,0.0166794424891,0.00112628466845,14.80926
"('334510', 'Electromedical and Electrotherapeutic Apparatus Manufacturing')",334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,0.0,0.0,1,1798,1964,132933,9910162,49763667,,0.00752258656616,
"('334511', 'Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing')",334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",0.0,0.0,21,1707,2022,277547,21223890,93120465,,0.0756628607047,
"('334512', 'Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use')",334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",4356.78,3.0,7,1077,1105,33763,1626552,7385070,0.129040073453,0.207327547907,0.622397142857
"('334513', 'Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables')",334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",6037.4,4.0,7,3329,3523,103119,5919955,25430680,0.0585478912712,0.0678827374199,0.862485714286
"('334514', 'Totalizing Fluid Meter and Counting Device Manufacturing')",334514,Totalizing Fluid Meter and Counting Device Manufacturing,0.0,0.0,3,738,771,38159,1907091,12641701,,0.0786184124322,
"('334515', 'Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals')",334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,0.0,0.0,11,2488,2651,73585,5812801,20491243,,0.149486987837,
"('334516', 'Analytical Laboratory Instrument Manufacturing')",334516,Analytical Laboratory Instrument Manufacturing,5219.4,1.5,6,1935,2043,79091,5684418,26087841,0.0659923379398,0.0758619817678,0.8699
"('334518', 'Watch, Clock, and Part Manufacturing')",334518,"Watch, Clock, and Part Manufacturing",0.0,0.0,1,357,361,5561,228029,1167566,,0.179823772703,
"('334519', 'Other Measuring and Controlling Device Manufacturing')",334519,Other Measuring and Controlling Device Manufacturing,10759.04,7.5,6,2755,2937,79733,4901650,20610079,0.134938356766,0.0752511507155,1.79317333333
"('334611', 'Software Reproducing')",334611,Software Reproducing,0.0,0.0,33,768,789,8855,454837,1822202,,3.72670807453,
"('334612', 'Prerecorded Compact Disc (except Software), Tape, and Record Reproducing')",334612,"Prerecorded Compact Disc (except Software), Tape, and Record Reproducing",6122.26,7.0,8,1636,1695,46297,1801356,8704235,0.13223880597,0.17279737348,0.7652825
"('334613', 'Magnetic and Optical Recording Media Manufacturing')",334613,Magnetic and Optical Recording Media Manufacturing,0.0,0.0,6,490,496,4028,277931,1008185,,1.48957298908,
"('3351', 'Electric Lighting Equipment Manufacturing')",3351,Electric Lighting Equipment Manufacturing,12189.36,12.0,3,4088,4283,146960,6157221,34764185,0.0829433859554,0.0204137180185,4.06312
"('33511', 'Electric Lamp Bulb and Part Manufacturing')",33511,Electric Lamp Bulb and Part Manufacturing,0.0,0.0,2,277,323,20175,982913,4866228,,0.0991325898389,
"('335110', 'Electric Lamp Bulb and Part Manufacturing')",335110,Electric Lamp Bulb and Part Manufacturing,0.0,0.0,5,277,323,20175,982913,4866228,,0.247831474597,
"('33512', 'Lighting Fixture Manufacturing')",33512,Lighting Fixture Manufacturing,13019.22,11.5,6,3817,3960,126720,5174308,29897957,0.102740056818,0.0473484848485,2.16987
"('335121', 'Residential Electric Lighting Fixture Manufacturing')",335121,Residential Electric Lighting Fixture Manufacturing,0.0,0.0,16,1571,1578,33685,1236022,7213952,,0.474988867448,
"('335122', 'Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing')",335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",2779.54,1.0,21,1241,1313,46770,1955645,11255915,0.0594299764806,0.449005772931,0.132359047619
"('335129', 'Other Lighting Equipment Manufacturing')",335129,Other Lighting Equipment Manufacturing,0.0,0.0,10,1033,1069,46265,1982641,11428090,,0.216146114774,
"('3352', 'Household Appliance Manufacturing')",3352,Household Appliance Manufacturing,4518.96,4.0,3,1056,1151,140072,5457771,50409033,0.032261693986,0.0214175566851,1.50632
"('33521', 'Small Electrical Appliance Manufacturing')",33521,Small Electrical Appliance Manufacturing,0.0,0.0,4,459,477,26471,1026699,8379855,,0.15110876053,
"('335211', 'Electric Housewares and Household Fan Manufacturing')",335211,Electric Housewares and Household Fan Manufacturing,7512.32,2.0,4,339,349,16188,663435,5597589,0.464067210279,0.247096614776,1.87808
"('335212', 'Household Vacuum Cleaner Manufacturing')",335212,Household Vacuum Cleaner Manufacturing,12148.69,2.5,6,120,128,10247,362627,2777142,1.18558504928,0.585537230409,2.02478166667
"('33522', 'Major Appliance Manufacturing')",33522,Major Appliance Manufacturing,2772.5,0.5,6,603,674,113499,4431072,42029178,0.0244275279958,0.0528639018846,0.462083333333
"('335221', 'Household Cooking Appliance Manufacturing')",335221,Household Cooking Appliance Manufacturing,0.0,0.0,5,395,412,33925,1047183,10439664,,0.147383935151,
"('335222', 'Household Refrigerator and Home Freezer Manufacturing')",335222,Household Refrigerator and Home Freezer Manufacturing,0.0,0.0,6,58,70,29275,1280711,12043738,,0.204953031597,
"('335224', 'Household Laundry Equipment Manufacturing')",335224,Household Laundry Equipment Manufacturing,0.0,0.0,2,47,53,24403,932838,9795581,,0.0819571364177,
"('335228', 'Other Major Household Appliance Manufacturing')",335228,Other Major Household Appliance Manufacturing,0.0,0.0,12,127,139,24131,1068649,9238887,,0.497285649165,
"('3353', 'Electrical Equipment Manufacturing')",3353,Electrical Equipment Manufacturing,2822.56,8.0,6,7462,8182,333834,16008772,98155979,0.00845498061911,0.0179730045472,0.470426666667
"('33531', 'Electrical Equipment Manufacturing')",33531,Electrical Equipment Manufacturing,0.0,0.0,18,7462,8182,333834,16008772,98155979,,0.0539190136415,
"('335311', 'Power, Distribution, and Specialty Transformer Manufacturing')",335311,"Power, Distribution, and Specialty Transformer Manufacturing",1732.89,1.5,12,884,968,54329,2364501,17690405,0.0318962248523,0.220876511624,0.1444075
"('335312', 'Motor and Generator Manufacturing')",335312,Motor and Generator Manufacturing,1160.54,1.0,11,1582,1781,101766,4350720,28701881,0.011404005267,0.10809111098,0.105503636364
"('335313', 'Switchgear and Switchboard Apparatus Manufacturing')",335313,Switchgear and Switchboard Apparatus Manufacturing,0.0,0.0,7,1583,1753,78136,4047844,23297929,,0.089587386096,
"('335314', 'Relay and Industrial Control Manufacturing')",335314,Relay and Industrial Control Manufacturing,0.0,0.0,6,3521,3680,99603,5245707,28465764,,0.0602391494232,
"('3359', 'Other Electrical Equipment and Component Manufacturing')",3359,Other Electrical Equipment and Component Manufacturing,0.0,0.0,13,6441,7128,351350,16630057,116297517,,0.0370001423082,
"('33591', 'Battery Manufacturing')",33591,Battery Manufacturing,0.0,0.0,5,431,537,55870,2564898,18127761,,0.0894934669769,
"('335911', 'Storage Battery Manufacturing')",335911,Storage Battery Manufacturing,0.0,0.0,6,298,374,39891,1819438,11370931,,0.150409866887,
"('335912', 'Primary Battery Manufacturing')",335912,Primary Battery Manufacturing,0.0,0.0,5,142,163,14970,726064,6683825,,0.334001336005,
"('33592', 'Communication and Energy Wire and Cable Manufacturing')",33592,Communication and Energy Wire and Cable Manufacturing,0.0,0.0,23,1035,1210,79203,3859795,39969891,,0.290393040668,
"('335921', 'Fiber Optic Cable Manufacturing')",335921,Fiber Optic Cable Manufacturing,897.105,2.0,22,329,343,13911,765179,4585515,0.0644888936813,1.58148228021,0.0407775
"('335929', 'Other Communication and Energy Wire Manufacturing')",335929,Other Communication and Energy Wire Manufacturing,1039.63,1.5,28,720,867,65343,3094616,35384376,0.0159103499992,0.428508026874,0.0371296428571
"('33593', 'Wiring Device Manufacturing')",33593,Wiring Device Manufacturing,188.18,0.5,4,1806,1988,110413,4798693,29606871,0.00170432829468,0.0362276181247,0.047045
"('335931', 'Current-Carrying Wiring Device Manufacturing')",335931,Current-Carrying Wiring Device Manufacturing,2802.76,8.0,7,1394,1486,72830,3107816,16760815,0.0384835919264,0.0961142386379,0.400394285714
"('335932', 'Noncurrent-Carrying Wiring Device Manufacturing')",335932,Noncurrent-Carrying Wiring Device Manufacturing,899.78,0.5,2,426,502,36907,1690877,12846056,0.0243796569756,0.0541902620099,0.44989
"('33599', 'All Other Electrical Equipment and Component Manufacturing')",33599,All Other Electrical Equipment and Component Manufacturing,756.04,1.0,13,3230,3393,105666,5406671,28592994,0.00715499782333,0.123029167376,0.0581569230769
"('335991', 'Carbon and Graphite Product Manufacturing')",335991,Carbon and Graphite Product Manufacturing,0.0,0.0,4,422,473,20581,1026180,6766941,,0.19435401584,
"('335999', 'All Other Miscellaneous Electrical Equipment and Component Manufacturing')",335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,3058.845,2.5,48,2810,2920,85085,4380491,21826053,0.0359504613034,0.564141740612,0.0637259375
"('3361', 'Motor Vehicle Manufacturing')",3361,Motor Vehicle Manufacturing,0.0,0.0,13,1088,1227,401347,27719178,521486429,,0.0323909235649,
"('33611', 'Automobile and Light Duty Motor Vehicle Manufacturing')",33611,Automobile and Light Duty Motor Vehicle Manufacturing,0.0,0.0,22,835,928,336718,24777545,479843634,,0.0653365724434,
"('336111', 'Automobile Manufacturing')",336111,Automobile Manufacturing,0.0,0.0,136,640,667,150270,10683695,174891175,,0.905037598988,
"('336112', 'Light Truck and Utility Vehicle Manufacturing')",336112,Light Truck and Utility Vehicle Manufacturing,150.68,1.0,17,209,261,186294,14081857,303385725,0.000808829055149,0.0912536098854,0.00886352941176
"('33612', 'Heavy Duty Truck Manufacturing')",33612,Heavy Duty Truck Manufacturing,0.0,0.0,7,259,299,64629,2941633,41642795,,0.108310510761,
"('336120', 'Heavy Duty Truck Manufacturing')",336120,Heavy Duty Truck Manufacturing,0.0,0.0,25,259,299,64629,2941633,41642795,,0.386823252719,
"('3362', 'Motor Vehicle Body and Trailer Manufacturing')",3362,Motor Vehicle Body and Trailer Manufacturing,0.0,0.0,1,6727,7362,371365,13332209,83594224,,0.00269276857001,
"('33621', 'Motor Vehicle Body and Trailer Manufacturing')",33621,Motor Vehicle Body and Trailer Manufacturing,0.0,0.0,7,6727,7362,371365,13332209,83594224,,0.01884937999,
"('336211', 'Motor Vehicle Body Manufacturing')",336211,Motor Vehicle Body Manufacturing,84.81,0.5,12,2617,2833,124673,4787537,28484710,0.000680259559006,0.0962517946949,0.0070675
"('336212', 'Truck Trailer Manufacturing')",336212,Truck Trailer Manufacturing,7389.94,8.0,17,1228,1315,79791,2633746,18189560,0.0926162098482,0.213056610395,0.434702352941
"('336213', 'Motor Home Manufacturing')",336213,Motor Home Manufacturing,20982.96,9.5,8,241,270,41081,1562328,11139612,0.510770429152,0.194737226455,2.62287
"('336214', 'Travel Trailer and Camper Manufacturing')",336214,Travel Trailer and Camper Manufacturing,4761.88,9.0,26,2710,2944,125701,4348598,25060541,0.0378825944105,0.20684004105,0.183149230769
"('3363', 'Motor Vehicle Parts Manufacturing')",3363,Motor Vehicle Parts Manufacturing,0.0,0.0,24,15658,17966,1359220,62110435,444459570,,0.0176571857389,
"('33631', 'Motor Vehicle Gasoline Engine and Engine Parts Manufacturing')",33631,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,0.0,0.0,4,3417,3594,166062,8488902,71287100,,0.0240873890475,
"('336312', 'Gasoline Engine and Engine Parts Manufacturing')",336312,Gasoline Engine and Engine Parts Manufacturing,0.0,0.0,8,3077,3211,142825,7516483,66371370,,0.0560126028356,
"('33632', 'Motor Vehicle Electrical and Electronic Equipment Manufacturing')",33632,Motor Vehicle Electrical and Electronic Equipment Manufacturing,9855.0,10.0,5,2553,2723,159682,7172212,41308180,0.0617164113676,0.0313122330632,1.971
"('336321', 'Vehicular Lighting Equipment Manufacturing')",336321,Vehicular Lighting Equipment Manufacturing,0.0,0.0,1,312,329,30193,1262662,7049386,,0.0331202596628,
"('336322', 'Other Motor Vehicle Electrical and Electronic Equipment Manufacturing')",336322,Other Motor Vehicle Electrical and Electronic Equipment Manufacturing,0.0,0.0,7,2248,2394,129489,5909550,34258794,,0.0540586459081,
"('33633', 'Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing')",33633,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,0.0,0.0,4,712,796,80091,3629110,23632592,,0.0499431896218,
"('336330', 'Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing')",336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,0.0,0.0,9,712,796,80091,3629110,23632592,,0.112372176649,
"('336340', 'Motor Vehicle Brake System Manufacturing')",336340,Motor Vehicle Brake System Manufacturing,0.0,0.0,7,620,731,69568,2615621,23934608,,0.100620975161,
"('33635', 'Motor Vehicle Transmission and Power Train Parts Manufacturing')",33635,Motor Vehicle Transmission and Power Train Parts Manufacturing,0.0,0.0,2,1524,1713,169853,9590544,67684801,,0.011774887697,
"('336350', 'Motor Vehicle Transmission and Power Train Parts Manufacturing')",336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,0.0,0.0,14,1524,1713,169853,9590544,67684801,,0.0824242138791,
"('33636', 'Motor Vehicle Seating and Interior Trim Manufacturing')",33636,Motor Vehicle Seating and Interior Trim Manufacturing,0.0,0.0,7,1003,1234,117670,4802144,43141622,,0.059488399762,
"('336360', 'Motor Vehicle Seating and Interior Trim Manufacturing')",336360,Motor Vehicle Seating and Interior Trim Manufacturing,0.0,0.0,27,1003,1234,117670,4802144,43141622,,0.229455256225,
"('33637', 'Motor Vehicle Metal Stamping')",33637,Motor Vehicle Metal Stamping,0.0,0.0,2,1929,2270,236526,11855643,65388259,,0.00845573002545,
"('336370', 'Motor Vehicle Metal Stamping')",336370,Motor Vehicle Metal Stamping,0.0,0.0,9,1929,2270,236526,11855643,65388259,,0.0380507851145,
"('33639', 'Other Motor Vehicle Parts Manufacturing')",33639,Other Motor Vehicle Parts Manufacturing,0.0,0.0,22,4324,4905,359768,13956259,108082408,,0.0611505192235,
